mass_g,kingdom,phylum,class,order,family,genus,species
96.6,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus argentatus
19.37,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus atromaculatus
34.93,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus chankaensis
33.5,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus gracilis
14.9,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus japonicus
26.4,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus japonicus
1.6,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus multimaculatus
9.612,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus nitens
32.5,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalidus,Squalidus wolterstorffi
1.5,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Squalius,Squalius cephalus
1594.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squaliobarbus,Squaliobarbus curriculus
99.23,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalius,Squalius cappadocicus
6250.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalius,Squalius cephalus
122.5,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalius,Squalius fellowesii
378.4,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalius,Squalius kottelati
785.6,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Squalius,Squalius seyhanensis
176.1,Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Squalogadus,Squalogadus modificatus
4183.0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias
7262.0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus blainville
30000.0,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,Squatina aculeata
27000.0,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,Squatina californica
66.6,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Squilla,Squilla mantis
125.5,Animalia,Chordata,Mammalia,Rodentia,Muridae,Srilankamys,Srilankamys ohiensis
8.5,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis chrysaea
9.875,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis pyrrhops
10.0,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis ruficeps
9.8,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis rufifrons
9.7,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis ambigua
