taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,form,subspecies,variety
Thamnophilus_tenuepunctatus,23.3,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus tenuepunctatus,99,,,
Thamnophilus_torquatus,21.1,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus torquatus,99,,,
Thamnophilus_unicolor,24.2,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus unicolor,99,,,
Thamnophilus_zarumae,22.8,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus zarumae,99,,,
Thamnophis_angustirostris,47.2,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis rufipunctatus,98,,,
Thamnophis_atratus,354.9,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis atratus,99,,,
Thamnophis_bogerti,13.3,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis bogerti,99,,,
Thamnophis_brachystoma,41.6,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis brachystoma,99,,,
Thamnophis_butleri,61.31,Feldman_etal_2016; Makarieva_2008,2.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis butleri,99,,,
Thamnophis_chrysocephalus,20.3,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis chrysocephalus,99,,,
Thamnophis_conanti,15.5,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis conanti,99,,,
Thamnophis_couchii,518.2,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis couchii,99,,,
Thamnophis_cyrtopsis,443.8,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis cyrtopsis,99,,,
Thamnophis_elegans,263.6,Feldman_etal_2016; Quaardvark,2.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis elegans,99,,,
Thamnophis_exsul,22.3,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis exsul,99,,,
Thamnophis_fulvus,69.1,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis fulvus,99,,,
Thamnophis_gigas,1484.0,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis gigas,99,,,
Thamnophis_godmani,75.2,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis godmani,99,,,
Thamnophis_hammondii,352.7,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis hammondii,99,,,
Thamnophis_lineri,14.2,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis lineri,99,,,
Thamnophis_marcianus,365.9,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis marcianus,99,,,
Thamnophis_melanogaster,175.1,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis melanogaster,99,,,
Thamnophis_mendax,91.6,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis mendax,99,,,
Thamnophis_nigronuchalis,118.2,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis nigronuchalis,99,,,
Thamnophis_ordinoides,248.0,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis ordinoides,99,,,
Thamnophis_postremus,112.4,Feldman_etal_2016,1.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis postremus,98,,,
Thamnophis_proximus,296.6,Feldman_etal_2016; Makarieva_2008,2.0,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,Thamnophis proximus,99,,,
