taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,form,subspecies,variety
Terpsiphone_smithii,15.43,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Terpsiphone,Terpsiphone smithii,99,,,
Terpsiphone_viridis,13.86,Lislevand_etal_2007; Wilman_etal_2014,2.0,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Terpsiphone,Terpsiphone viridis,99,,,
Terrapene_ornata,376.0,Makarieva_2008; Quaardvark,2.0,Animalia,Chordata,Testudines,,Emydidae,Terrapene,Terrapene ornata,99,,,
Tersina_viridis,29.13,Lislevand_etal_2007; Wilman_etal_2014,2.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tersina,Tersina viridis,99,,,
Tesia_castaneocoronata,8.94,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,Cettia castaneocoronata,98,,,
Tesia_cyaniventer,9.7,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Tesia,Tesia cyaniventer,99,,,
Tesia_everetti,6.29,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Tesia,Tesia everetti,99,,,
Tesia_olivea,7.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Tesia,Tesia olivea,99,,,
Tesia_superciliaris,3.16,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Tesia,Tesia superciliaris,99,,,
Tessarabrachion_oculatum,0.0677,Pata_2025,1.0,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Tessarabrachion,Tessarabrachion oculatum,99,,,
Testudinalia_testudinalis,0.325,Brose_etal_2018,1.0,Animalia,Mollusca,Gastropoda,,Lottiidae,Testudinalia,Testudinalia testudinalis,99,,,
Testudo_graeca,1400.0,Cai_etal_2025; Gillooly_etal_2016,2.0,Animalia,Chordata,Testudines,,Testudinidae,Testudo,Testudo graeca,99,,,
