taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,subspecies,form
Abalistes_filamentosus,1375.0,fishbase,1.0,Animalia,Chordata,,Tetraodontiformes,Balistidae,Abalistes,Abalistes filamentosus,99,,
Abalistes_stellaris,3711.0,Cai_etal_2025,1.0,Animalia,Chordata,,Tetraodontiformes,Balistidae,Abalistes,Abalistes stellaris,99,,
Abbottina_binhi,1.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi,99,,
Abbottina_obtusirostris,13.5,Cai_etal_2025-fishbase,2.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris,99,,
Abbottina_rivularis,49.95,Killen_etal_2016-Cai_etal_2025,2.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis,99,,
Abbottina_springeri,5.2,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Biwia,Biwia springeri,98,,
Abditomys_latidens,268.7,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abditomys,Abditomys latidens,99,,
Abeillia_abeillei,2.7,Wilman_etal_2014-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Abeillia,Abeillia abeillei,99,,
Abeomelomys_sevia,54.18,Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia,99,,
Abeomylomys_sevia,52.0,Smith_2003,1.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia,85,,
Ablennes_hians,2949.0,Cai_etal_2025-fishbase,2.0,Animalia,Chordata,,Beloniformes,Belonidae,Ablennes,Ablennes hians,99,,
Ablepharus_bivittatus,4.382,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus bivittatus,99,,
Ablepharus_budaki,1.734,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus budaki,99,,
Ablepharus_chernovi,2.345,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus chernovi,99,,
Ablepharus_darvazi,1.51,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus darvazi,99,,
Ablepharus_deserti,3.887,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus deserti,99,,
Ablepharus_grayanus,0.6595,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus grayanus,99,,
Ablepharus_kitaibelii,2.866,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus kitaibelii,99,,
Ablepharus_lindbergi,2.298,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus lindbergi,99,,
Ablepharus_pannonicus,3.112,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus pannonicus,98,,
Ablepharus_rueppellii,2.603,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus rueppellii,99,,
Abralia_multihamata,10.0,sealifebase,1.0,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia multihamata,99,,
Abramis_brama,3982.0,Brown_etal_2018-Cai_etal_2025-AnAge-fishbase,4.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,97,,
Abramites_hypselonotus,35.2,Cai_etal_2025,1.0,Animalia,Chordata,,Characiformes,Anostomidae,Abramites,Abramites hypselonotus,99,,
Abrawayaomys_ruschii,63.0,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrawayaomys,Abrawayaomys ruschii,99,,
Abrocoma_bennetti,307.0,rdataretriever-mammal-life-hist,1.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma bennettii,96,,
Abrocoma_bennettii,256.0,Smith_2003-Faurby_etal_2018-AnAge-rdataretriever-pantheria_rdataretriever-amniote-life-hist,5.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma bennettii,99,,
Abrocoma_boliviensis,158.0,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma boliviensis,99,,
Abrocoma_budini,291.3,Faurby_etal_2018-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma budini,99,,
Abrocoma_cinerea,242.7,Smith_2003-Faurby_etal_2018-Quaardvark-rdataretriever-mammal-life-hist_rdataretriever-pantheria_rdataretriever-amniote-life-hist,6.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma cinerea,99,,
Abrocoma_famatina,227.6,Faurby_etal_2018-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma famatina,99,,
Abrocoma_shistacea,249.1,Faurby_etal_2018-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma shistacea,99,,
Abrocoma_uspallata,245.8,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma uspallata,99,,
Abrocoma_vaccarum,238.1,Faurby_etal_2018-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma vaccarum,99,,
Abronia_anzuetoi,44.51,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia anzuetoi,99,,
Abronia_aurita,34.08,Meiri_2018-Feldman_etal_2016,2.0,,,,,,,,,,
Abronia_bogerti,11.12,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia bogerti,99,,
Abronia_campbelli,36.0,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia campbelli,99,,
Abronia_chiszari,12.18,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia chiszari,99,,
Abronia_cuetzpali,25.48,Meiri_2018,1.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia cuetzpali,99,,
Abronia_deppii,27.96,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia deppii,99,,
Abronia_fimbriata,39.02,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia fimbriata,99,,
Abronia_frosti,21.82,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia frosti,99,,
Abronia_fuscolabialis,27.89,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia fuscolabialis,99,,
Abronia_gaiophantasma,21.82,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia gaiophantasma,99,,
Abronia_graminea,20.76,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,99,,
Abronia_leurolepis,18.58,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia leurolepis,99,,
Abronia_lythrochila,29.52,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia lythrochila,99,,
Abronia_martindelcampoi,25.49,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia martindelcampoi,99,,
Abronia_matudai,21.82,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia matudai,99,,
Abronia_meledona,29.52,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia meledona,99,,
Abronia_mitchelli,18.58,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia mitchelli,99,,
Abronia_mixteca,61.3,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia mixteca,99,,
Abronia_montecristoi,12.19,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia montecristoi,99,,
Abronia_oaxacae,27.08,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia oaxacae,99,,
Abronia_ochoterenai,24.32,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ochoterenai,99,,
Abronia_ornelasi,14.1,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ornelasi,99,,
Abronia_ramirezi,12.19,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ramirezi,99,,
Abronia_reidi,15.68,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia reidi,99,,
Abronia_salvadorensis,12.62,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia salvadorensis,99,,
Abronia_smithi,21.82,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia smithi,99,,
Abronia_taeniata,48.08,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia taeniata,99,,
Abronia_vasconcelosii,29.52,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia vasconcelosii,99,,
Abroscopus_albogularis,4.84,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus albogularis,98,,
Abroscopus_schisticeps,4.775,Wilman_etal_2014-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus schisticeps,99,,
Abroscopus_superciliaris,6.49,Wilman_etal_2014-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,99,,
